,product_category(1),product_category(2),product_category(3),product_category(4),product_category(5),product_category(6)
0,22,145,699,910,442,89
1,22,145,699,910,442,89
2,1,1,699,910,442,89
3,22,145,699,910,442,89
4,2,2,1,1,442,89
5,3,3,2,2,442,89
6,4,4,3,910,442,89
7,22,145,699,910,442,89
8,4,5,4,910,442,89
9,22,145,699,910,442,89
10,5,6,5,910,442,89
11,6,7,6,910,442,89
12,22,145,699,910,442,89
13,3,8,7,910,442,89
14,1,9,8,910,442,89
15,22,145,699,910,442,89
16,7,10,699,910,442,89
17,2,2,9,3,442,89
18,22,145,699,910,442,89
19,22,145,699,910,442,89
20,8,11,10,910,442,89
21,22,145,699,910,442,89
22,3,12,11,4,442,89
23,9,13,12,910,442,89
24,22,145,699,910,442,89
25,22,145,699,910,442,89
26,22,145,699,910,442,89
27,3,3,2,5,1,89
28,4,14,13,6,442,89
29,22,145,699,910,442,89
30,22,145,699,910,442,89
31,1,9,14,910,442,89
32,3,3,2,2,442,89
33,22,145,699,910,442,89
34,8,15,15,910,442,89
35,22,145,699,910,442,89
36,3,16,16,910,442,89
37,1,17,17,910,442,89
38,22,145,699,910,442,89
39,3,18,18,7,442,89
40,4,14,13,8,2,89
41,6,19,699,910,442,89
42,2,2,1,9,3,89
43,1,9,8,910,442,89
44,22,145,699,910,442,89
45,2,20,19,10,442,89
46,22,145,699,910,442,89
47,2,2,20,910,442,89
48,22,145,699,910,442,89
49,6,21,699,910,442,89
50,22,145,699,910,442,89
51,22,145,699,910,442,89
52,5,22,21,910,442,89
53,3,3,2,5,1,89
54,22,145,699,910,442,89
55,4,14,13,11,442,89
56,22,145,699,910,442,89
57,22,145,699,910,442,89
58,22,145,699,910,442,89
59,1,1,699,910,442,89
60,1,23,22,910,442,89
61,1,1,699,910,442,89
62,22,145,699,910,442,89
63,1,1,699,910,442,89
64,22,145,699,910,442,89
65,22,145,699,910,442,89
66,8,24,23,910,442,89
67,10,25,24,12,4,89
68,22,145,699,910,442,89
69,22,145,699,910,442,89
70,22,145,699,910,442,89
71,3,18,25,13,442,89
72,22,145,699,910,442,89
73,4,5,26,14,442,89
74,22,145,699,910,442,89
75,2,2,1,15,5,89
76,22,145,699,910,442,89
77,22,145,699,910,442,89
78,22,145,699,910,442,89
79,4,5,27,910,442,89
80,8,11,28,910,442,89
81,4,26,29,16,6,89
82,22,145,699,910,442,89
83,1,9,30,910,442,89
84,22,145,699,910,442,89
85,22,145,699,910,442,89
86,3,8,7,910,442,89
87,22,145,699,910,442,89
88,22,145,699,910,442,89
89,22,145,699,910,442,89
90,22,145,699,910,442,89
91,1,1,699,910,442,89
92,11,27,31,17,442,89
93,22,145,699,910,442,89
94,3,16,32,910,442,89
95,22,145,699,910,442,89
96,4,28,33,18,442,89
97,22,145,699,910,442,89
98,1,29,34,910,442,89
99,8,11,35,910,442,89
100,4,14,36,19,442,89
101,22,145,699,910,442,89
102,22,145,699,910,442,89
103,12,30,37,20,7,89
104,22,145,699,910,442,89
105,4,14,38,21,442,89
106,22,145,699,910,442,89
107,2,2,1,9,3,89
108,22,145,699,910,442,89
109,9,31,39,22,442,89
110,22,145,699,910,442,89
111,22,145,699,910,442,89
112,1,23,40,910,442,89
113,1,1,699,910,442,89
114,8,32,699,910,442,89
115,22,145,699,910,442,89
116,8,33,699,910,442,89
117,22,145,699,910,442,89
118,8,11,10,910,442,89
119,22,145,699,910,442,89
120,8,34,41,23,442,89
121,22,145,699,910,442,89
122,22,145,699,910,442,89
123,22,145,699,910,442,89
124,5,6,5,910,442,89
125,22,145,699,910,442,89
126,22,145,699,910,442,89
127,13,35,42,910,442,89
128,3,3,2,2,442,89
129,8,11,43,910,442,89
130,8,11,35,910,442,89
131,22,145,699,910,442,89
132,22,145,699,910,442,89
133,22,145,699,910,442,89
134,22,145,699,910,442,89
135,3,3,2,2,442,89
136,22,145,699,910,442,89
137,8,36,44,910,442,89
138,22,145,699,910,442,89
139,22,145,699,910,442,89
140,10,25,45,24,442,89
141,22,145,699,910,442,89
142,4,14,13,25,442,89
143,3,18,18,26,442,89
144,8,24,46,910,442,89
145,3,3,2,2,442,89
146,22,145,699,910,442,89
147,2,2,1,9,8,89
148,22,145,699,910,442,89
149,7,10,699,910,442,89
150,2,2,47,27,442,89
151,22,145,699,910,442,89
152,22,145,699,910,442,89
153,1,9,14,910,442,89
154,12,30,37,28,9,89
155,22,145,699,910,442,89
156,22,145,699,910,442,89
157,4,14,13,29,442,89
158,4,26,29,16,10,89
159,8,37,699,910,442,89
160,4,38,48,30,442,89
161,22,145,699,910,442,89
162,1,9,49,31,442,89
163,22,145,699,910,442,89
164,4,14,13,25,442,89
165,22,145,699,910,442,89
166,3,3,2,2,442,89
167,8,15,50,910,442,89
168,22,145,699,910,442,89
169,1,1,699,910,442,89
170,2,2,9,32,442,89
171,3,3,2,2,442,89
172,3,3,2,2,442,89
173,4,14,13,25,442,89
174,8,24,46,910,442,89
175,22,145,699,910,442,89
176,22,145,699,910,442,89
177,22,145,699,910,442,89
178,22,145,699,910,442,89
179,22,145,699,910,442,89
180,2,2,47,27,442,89
181,22,145,699,910,442,89
182,10,25,45,33,442,89
183,22,145,699,910,442,89
184,22,145,699,910,442,89
185,5,39,51,910,442,89
186,5,40,52,34,442,89
187,22,145,699,910,442,89
188,8,33,699,910,442,89
189,1,9,53,35,442,89
190,22,145,699,910,442,89
191,3,16,16,910,442,89
192,9,31,54,36,442,89
193,1,9,55,37,442,89
194,1,9,53,38,442,89
195,22,145,699,910,442,89
196,22,145,699,910,442,89
197,22,145,699,910,442,89
198,1,1,699,910,442,89
199,13,35,56,39,442,89
200,1,9,8,910,442,89
201,3,8,57,910,442,89
202,22,145,699,910,442,89
203,4,5,27,910,442,89
204,4,38,58,40,442,89
205,4,14,59,41,11,89
206,22,145,699,910,442,89
207,22,145,699,910,442,89
208,22,145,699,910,442,89
209,9,31,54,42,442,89
210,22,145,699,910,442,89
211,22,145,699,910,442,89
212,1,1,699,910,442,89
213,3,3,2,2,442,89
214,10,25,45,43,442,89
215,14,41,60,44,442,89
216,22,145,699,910,442,89
217,3,3,2,2,442,89
218,22,145,699,910,442,89
219,6,21,699,910,442,89
220,5,6,5,910,442,89
221,7,10,699,910,442,89
222,22,145,699,910,442,89
223,22,145,699,910,442,89
224,22,145,699,910,442,89
225,1,17,61,910,442,89
226,5,39,62,910,442,89
227,4,42,63,45,442,89
228,22,145,699,910,442,89
229,22,145,699,910,442,89
230,4,14,13,46,442,89
231,3,8,7,910,442,89
232,3,43,64,47,442,89
233,4,5,26,48,442,89
234,1,1,699,910,442,89
235,1,9,65,49,442,89
236,1,9,66,910,442,89
237,22,145,699,910,442,89
238,22,145,699,910,442,89
239,4,4,3,910,442,89
240,22,145,699,910,442,89
241,22,145,699,910,442,89
242,22,145,699,910,442,89
243,22,145,699,910,442,89
244,22,145,699,910,442,89
245,22,145,699,910,442,89
246,4,14,13,29,442,89
247,4,4,3,910,442,89
248,9,31,54,50,442,89
249,22,145,699,910,442,89
250,10,25,45,51,12,1
251,22,145,699,910,442,89
252,1,1,699,910,442,89
253,3,3,2,2,442,89
254,4,14,13,52,442,89
255,8,24,23,910,442,89
256,10,25,24,53,13,89
257,3,3,2,2,442,89
258,22,145,699,910,442,89
259,1,9,8,910,442,89
260,4,44,699,910,442,89
261,22,145,699,910,442,89
262,22,145,699,910,442,89
263,22,145,699,910,442,89
264,22,145,699,910,442,89
265,3,12,67,54,14,89
266,22,145,699,910,442,89
267,8,36,44,910,442,89
268,5,45,68,910,442,89
269,1,23,22,910,442,89
270,22,145,699,910,442,89
271,4,28,33,18,442,89
272,4,5,26,14,442,89
273,22,145,699,910,442,89
274,22,145,699,910,442,89
275,4,14,69,55,442,89
276,22,145,699,910,442,89
277,10,25,45,51,12,1
278,22,145,699,910,442,89
279,1,1,699,910,442,89
280,4,14,38,56,442,89
281,22,145,699,910,442,89
282,22,145,699,910,442,89
283,2,2,20,910,442,89
284,22,145,699,910,442,89
285,1,9,49,31,442,89
286,22,145,699,910,442,89
287,8,24,46,910,442,89
288,2,2,70,57,442,89
289,22,145,699,910,442,89
290,22,145,699,910,442,89
291,22,145,699,910,442,89
292,22,145,699,910,442,89
293,22,145,699,910,442,89
294,8,11,43,910,442,89
295,15,46,71,910,442,89
296,22,145,699,910,442,89
297,8,24,23,910,442,89
298,22,145,699,910,442,89
299,22,145,699,910,442,89
300,4,5,72,58,442,89
301,3,16,16,910,442,89
302,22,145,699,910,442,89
303,5,39,51,910,442,89
304,8,24,23,910,442,89
305,4,4,3,910,442,89
306,1,9,73,910,442,89
307,3,16,16,910,442,89
308,22,145,699,910,442,89
309,22,145,699,910,442,89
310,3,3,2,2,442,89
311,6,21,699,910,442,89
312,4,47,74,59,442,89
313,4,5,75,910,442,89
314,3,16,16,910,442,89
315,22,145,699,910,442,89
316,3,18,18,7,442,89
317,1,1,699,910,442,89
318,4,28,76,910,442,89
319,22,145,699,910,442,89
320,22,145,699,910,442,89
321,3,8,77,910,442,89
322,3,3,2,5,1,89
323,22,145,699,910,442,89
324,22,145,699,910,442,89
325,1,9,49,31,442,89
326,3,12,78,60,442,89
327,6,21,699,910,442,89
328,22,145,699,910,442,89
329,10,25,45,51,12,1
330,8,24,23,910,442,89
331,22,145,699,910,442,89
332,4,5,79,61,442,89
333,22,145,699,910,442,89
334,1,1,699,910,442,89
335,1,1,699,910,442,89
